iter	Logloss
0	0.6430807107
1	0.6117627866
2	0.5866477193
3	0.5662984841
4	0.548472796
5	0.5313346857
6	0.5185630244
7	0.5106016882
8	0.5011694529
9	0.4900900144
10	0.4821751894
11	0.4728075874
12	0.464956913
13	0.4584233869
14	0.4548932205
15	0.4506100532
16	0.4469792731
17	0.4423772399
18	0.438385295
19	0.4359892592
20	0.4325731334
21	0.4299240057
22	0.4281089229
23	0.4255827431
24	0.4235719616
25	0.4216422239
26	0.4195821667
27	0.4167867917
28	0.4153386657
29	0.4130853232
30	0.4114447895
31	0.4081870654
32	0.4059392516
33	0.4046345648
34	0.4033254024
35	0.4010373081
36	0.3999388508
37	0.3981759834
38	0.3957745945
39	0.3943303737
40	0.3912369751
41	0.3906682204
42	0.389615002
43	0.3887356306
44	0.3880495885
45	0.3866840859
46	0.3856767206
47	0.3843283307
48	0.3836411916
49	0.3827489199
50	0.3818969727
51	0.3812097896
52	0.3804613959
53	0.3798086138
54	0.3792099778
55	0.3783673328
56	0.3775188959
57	0.3767306604
58	0.3747304975
59	0.373450295
60	0.373038187
61	0.3721210362
62	0.3706502249
63	0.3698073167
64	0.3690324203
65	0.3679702506
66	0.3674061252
67	0.3667974191
68	0.364990366
69	0.364247501
70	0.3628577336
71	0.3618705525
72	0.3599664399
73	0.358696483
74	0.3582949278
75	0.3575748359
76	0.3568232829
77	0.3561123835
78	0.3548851863
79	0.3535400873
80	0.3520211632
81	0.3514379725
82	0.3507883715
83	0.3501033385
84	0.3495577079
85	0.3487603238
86	0.348199204
87	0.3475836309
88	0.3461355488
89	0.3454173874
90	0.344464673
91	0.3437326899
92	0.3429831773
93	0.3424800431
94	0.341667477
95	0.3404488581
96	0.3394845377
97	0.3387523133
98	0.3376476691
99	0.3368752299
100	0.3360875868
101	0.3354264019
102	0.3347337121
103	0.334051597
104	0.3333160159
105	0.3326005312
106	0.3318983855
107	0.3312991353
108	0.3307414161
109	0.330008358
110	0.329145112
111	0.3278987619
112	0.3271361295
113	0.3262056615
114	0.3255459026
115	0.3241646477
116	0.3233950606
